time	rocksdb	silk
2	496.7	496.8
4	499.6	499.6
6	499.6	499.5
8	499.5	499.5
10	499.6	499.6
12	1417.8	1020.9
14	1123	167.8
16	935.3	1036.8
18	813.4	745.9
20	1184.6	161.8
22	975.8	1144.5
24	1071.2	639
26	847.4	143.3
28	688.1	665.6
30	1192.3	715.6
32	1044.4	833.8
34	893.9	130.3
36	130.3	590.3
38	671.9	538.2
40	702	218.9
42	749.6	636.9
44	830.3	400.3
46	772.6	541.6
48	831.2	109.9
50	237.4	597.5
52	1116.3	161.6
54	1190.3	243.6
56	729.8	873.2
58	182.5	360.1
60	1057.9	140.5
62	715.5	123.9
64	1224.7	577.5
66	81.6	154.4
68	761.8	218.8
70	796.1	485
72	1144.6	348.9
74	938.4	173.3
76	1087.8	124.2
78	1436.5	765.7
80	825.7	409.3
82	721.7	132.7
84	139.7	147.4
86	183.6	491.4
88	663.3	442.2
90	714.8	430.2
92	714.4	130
94	761.8	646.5
96	711.9	118.9
98	774.1	235.8
100	636.9	617.7
102	859.8	393.5
104	238.9	107.5
106	86.8	88.5
108	924	360.7
110	747.2	615.6
112	731.2	148.1
114	947.4	63.2
116	971.1	757.5
118	848.6	837.4
120	54.7	88
122	1463.2	90.9
124	1162.2	765.7
126	920.6	409.3
128	1133.5	132.7
130	1034.1	147.4
132	274.2	491.4
134	52.1	442.2
136	889.1	430.2
138	1135.5	130
140	1060.8	646.5
142	814.3	118.9
144	980.4	235.8
146	979.5	617.7
148	381.4	393.5
150	70.6	107.5
152	62.1	88.5
154	1314.2	360.7
156	601.5	615.6
158	664.4	148.1
160	576.9	63.2
162	666.9	757.5
164	623	837.4
166	620.4	88
168	831.6	90.9
170	909.3	765.7
172	909.1	409.3
174	106.7	132.7
176	50.4	147.4
178	409.8	491.4
180	524.8	442.2
182	524.7	430.2
184	600.2	130
186	1179.8	646.5
188	976.4	118.9
190	755	235.8
192	957.9	617.7
194	1124.2	393.5
196	764.2	107.5